sampleid	CHRO	SEGSTART	SEGSTOP	SEGTYPE	SEGVALUE	SEGPROBES
SAMPLE_3	1	558358	3616356	0	0.0984	10
SAMPLE_3	1	3726548	247086071	0	-0.0026	292
SAMPLE_3	2	60038	242715745	0	0.0017	276
SAMPLE_3	3	94729	199240797	0	0.0024	253
SAMPLE_3	4	116279	525408	0	-0.0199	7
SAMPLE_3	4	681290	1701066	0	0.1351	10
SAMPLE_3	4	1850792	191164037	0	0.0043	211
SAMPLE_3	5	128576	344440	0	0.0347	4
SAMPLE_3	5	477791	1296415	1	0.223	8
SAMPLE_3	5	1431020	68789070	0	0.0097	72
SAMPLE_3	5	69012311	69572019	-1	-0.2362	3
SAMPLE_3	5	71393039	180586583	0	0.0147	130
SAMPLE_3	6	137020	170701330	0	0.0014	213
SAMPLE_3	7	196013	862439	0	0.0594	6
SAMPLE_3	7	909945	1886531	1	0.2713	4
SAMPLE_3	7	2085366	156121598	0	-0.005	194
SAMPLE_3	7	157329765	157904001	1	0.2441	3
SAMPLE_3	7	158000350	158674931	0	0.0202	13
SAMPLE_3	8	301689	6604277	0	0.0027	12
SAMPLE_3	8	7376309	7682208	-1	-1.593	3
SAMPLE_3	8	8643514	143809876	0	-9e-04	149
SAMPLE_3	8	143883352	145796957	0	0.1344	12
SAMPLE_3	8	145940363	146173569	0	-0.0225	4
SAMPLE_3	9	222727	135202933	0	-0.0047	153
SAMPLE_3	9	135568147	140079190	0	0.1047	18
SAMPLE_3	10	143886	44765961	0	-0.0054	59
SAMPLE_3	10	46364531	46793454	-1	-0.2456	3
SAMPLE_3	10	49416009	133792663	0	-0.0138	112
SAMPLE_3	10	134499083	135155553	1	0.1913	10
SAMPLE_3	11	251127	699367	0	-0.0249	6
SAMPLE_3	11	824557	2909911	0	0.1273	12
SAMPLE_3	11	3819914	134371674	0	0.012	199
SAMPLE_3	12	74309	131107288	0	-0.0144	169
SAMPLE_3	12	131175871	131609835	1	0.2487	4
SAMPLE_3	12	131686859	132220266	0	-0.0125	6
SAMPLE_3	13	18599956	114099410	0	0.0087	111
SAMPLE_3	14	20159393	22015186	0	0.0527	7
SAMPLE_3	14	22221132	106294770	0	-0.0108	105
SAMPLE_3	15	18911987	99971156	0	0.001	108
SAMPLE_3	15	100079308	100118557	1	0.2349	3
SAMPLE_3	16	120778	402987	0	-0.0119	6
SAMPLE_3	16	567152	2112377	1	0.2449	10
SAMPLE_3	16	2213248	88616697	0	-0.0131	112
SAMPLE_3	17	64044	78564210	0	-0.0173	177
SAMPLE_3	18	67394	76068492	0	0.0111	107
SAMPLE_3	19	281596	63683267	0	-0.0329	117
SAMPLE_3	20	52568	59037253	0	-0.015	112
SAMPLE_3	20	60386552	61567881	1	0.2952	5
SAMPLE_3	20	61680110	62358371	0	0.0865	10
SAMPLE_3	21	13769356	45047413	0	-0.007	53
SAMPLE_3	21	45143245	46844942	0	0.1051	16
SAMPLE_3	22	14487197	49362110	0	0.0082	103
SAMPLE_3	X	2834755	151990438	0	-0.0071	194
SAMPLE_3	X	152165690	152697682	1	0.2486	3
SAMPLE_3	X	152893128	154318397	0	0.0301	13
SAMPLE_3	Y	1708116	57644328	0	-0.0842	26
